"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","搜索商品 MacBook → 筛选后列表只含 MacBook","tests_admin","2026-07-17","broken","2026-07-17","TestAdminProducts","test_products","",""
"","30003","首页切到 GBP → 价格显示 £","tests","2026-07-17","broken","2026-07-17","TestCurrency","test_currency","",""
"","0","首页切到 Euro → 价格显示 €","tests","2026-07-17","broken","2026-07-17","TestCurrency","test_currency","",""
"登录用户：加购 MacBook → 购物车 → 配送 → 支付 → 下单","0","加购 → Flat Rate → COD → 下单成功","tests","2026-07-17","broken","2026-07-17","TestCheckout","test_checkout","",""
"搜索无效关键字 → 显示 'no product' 提示","0","搜索不存在的商品应提示无结果","tests","2026-07-17","broken","2026-07-17","TestSearch","test_search","",""
"搜索商品 → 添加至购物车 → 验证购物车非空","15229","搜索 Mac 并添加到购物车","tests","2026-07-17","broken","2026-07-17","TestCart","test_cart","",""
"登录后执行登出","0","登录后登出","tests","2026-07-17","broken","2026-07-17","TestLogin","test_login","",""
"","30004","首页切到 Euro → 价格显示 €","tests","2026-07-17","broken","2026-07-17","TestCurrency","test_currency","",""
"前台: 加购 → 购物车 → 输入 TEST10 → Apply","0","前台使用有效优惠券 → 价格更新","tests","2026-07-17","broken","2026-07-17","TestCoupon","test_coupon","",""
"","0","查看第一个订单详情（如有）","tests_admin","2026-07-17","broken","2026-07-17","TestAdminOrders","test_orders","",""
"","30002","首页切到 Euro → 价格显示 €","tests","2026-07-17","broken","2026-07-17","TestCurrency","test_currency","",""
"","0","首页切到 GBP → 价格显示 £","tests","2026-07-17","broken","2026-07-17","TestCurrency","test_currency","",""
"正例：demo / demo 登录成功","0","使用正确账号密码登录","tests","2026-07-17","broken","2026-07-17","TestLogin","test_login","",""
"后台: Marketing → Coupons 列表加载","15321","后台查看优惠券列表","tests","2026-07-17","broken","2026-07-17","TestCoupon","test_coupon","",""
"","0","商品列表加载 → 至少有一个商品","tests_admin","2026-07-17","broken","2026-07-17","TestAdminProducts","test_products","",""
"添加商品 → 清空购物车 → 验证为空","15170","添加多个商品后逐一清除","tests","2026-07-17","broken","2026-07-17","TestCart","test_cart","",""
"正例：demo / demo 登录成功","15296","使用正确账号密码登录","tests","2026-07-17","broken","2026-07-17","TestLogin","test_login","",""
"搜索几个常见关键字 — 结果数 > 0","5201","搜索 'Mac' 应返回相关商品","tests","2026-07-17","failed","2026-07-17","TestSearch","test_search","",""
"搜索几个常见关键字 — 结果数 > 0","5131","搜索 'Mac' 应返回相关商品","tests","2026-07-17","failed","2026-07-17","TestSearch","test_search","",""
"后台: Marketing → Coupons 列表加载","15300","后台查看优惠券列表","tests","2026-07-17","broken","2026-07-17","TestCoupon","test_coupon","",""
"搜索商品 → 添加至购物车 → 验证购物车非空","15173","搜索 Mac 并添加到购物车","tests","2026-07-17","broken","2026-07-17","TestCart","test_cart","",""
"","0","订单列表加载","tests_admin","2026-07-17","broken","2026-07-17","TestAdminOrders","test_orders","",""
"不添加商品，直接进入购物车 → 应显示空","361","未添加商品时购物车为空","tests","2026-07-17","broken","2026-07-17","TestCart","test_cart","",""
"","15220","后台登录成功 → 跳转 Dashboard","tests_admin","2026-07-17","broken","2026-07-17","TestAdminLogin","test_admin_login","",""
"搜索几个常见关键字 — 结果数 > 0","5205","搜索 'Mac' 应返回相关商品","tests","2026-07-17","failed","2026-07-17","TestSearch","test_search","",""
"","0","搜索商品 MacBook → 筛选后列表只含 MacBook","tests_admin","2026-07-17","broken","2026-07-17","TestAdminProducts","test_products","",""
"正例：demo / demo 登录成功","15218","使用正确账号密码登录","tests","2026-07-17","broken","2026-07-17","TestLogin","test_login","",""
"搜索几个常见关键字 — 结果数 > 0","0","搜索 'Mac' 应返回相关商品","tests","2026-07-17","broken","2026-07-17","TestSearch","test_search","",""
"点击顶部导航分类 → 页面跳转","30004","点击导航分类 'Desktops'","tests","2026-07-17","broken","2026-07-17","TestNavigation","test_navigation","",""
"首页正常加载，显示推荐商品","0","打开首页 — 验证标题和推荐商品","tests","2026-07-17","broken","2026-07-17","TestNavigation","test_navigation","",""
"首页正常加载，显示推荐商品","5004","打开首页 — 验证标题和推荐商品","tests","2026-07-17","failed","2026-07-17","TestNavigation","test_navigation","",""
"前台: 加购 → 购物车 → 输入 TEST10 → Apply","0","前台使用有效优惠券 → 价格更新","tests","2026-07-17","broken","2026-07-17","TestCoupon","test_coupon","",""
"前台: 加购 → 购物车 → 输入 INVALID → 显示错误","0","前台使用无效优惠券 → 警告提示","tests","2026-07-17","broken","2026-07-17","TestCoupon","test_coupon","",""
"搜索无效关键字 → 显示 'no product' 提示","15344","搜索不存在的商品应提示无结果","tests","2026-07-17","broken","2026-07-17","TestSearch","test_search","",""
"","0","创建新分类 → 保存后返回列表","tests_admin","2026-07-17","broken","2026-07-17","TestAdminCategories","test_categories","",""
"后台: Marketing → Coupons → Add New → 保存","15185","后台创建优惠券 → 保存成功","tests","2026-07-17","broken","2026-07-17","TestCoupon","test_coupon","",""
"反例：错误账号密码 → 显示错误提示","0","使用错误密码登录应提示错误","tests","2026-07-17","broken","2026-07-17","TestLogin","test_login","",""
"不添加商品，直接进入购物车 → 应显示空","0","未添加商品时购物车为空","tests","2026-07-17","broken","2026-07-17","TestCart","test_cart","",""
"点击顶部导航分类 → 页面跳转","30006","点击导航分类 'Desktops'","tests","2026-07-17","broken","2026-07-17","TestNavigation","test_navigation","",""
"搜索几个常见关键字 — 结果数 > 0","5140","搜索 'Mac' 应返回相关商品","tests","2026-07-17","failed","2026-07-17","TestSearch","test_search","",""
"搜索结果 → 点击进入商品详情","0","搜索 'Mac' 并点击第一条结果进入详情页","tests","2026-07-17","broken","2026-07-17","TestSearch","test_search","",""
"反例：错误账号密码 → 显示错误提示","15269","使用错误密码登录应提示错误","tests","2026-07-17","broken","2026-07-17","TestLogin","test_login","",""
"","0","创建新分类 → 保存后返回列表","tests_admin","2026-07-17","broken","2026-07-17","TestAdminCategories","test_categories","",""
"点击顶部导航分类 → 页面跳转","0","点击导航分类 'Desktops'","tests","2026-07-17","broken","2026-07-17","TestNavigation","test_navigation","",""
"不添加商品，直接进入购物车 → 应显示空","195","未添加商品时购物车为空","tests","2026-07-17","broken","2026-07-17","TestCart","test_cart","",""
"搜索几个常见关键字 — 结果数 > 0","0","搜索 'Mac' 应返回相关商品","tests","2026-07-17","broken","2026-07-17","TestSearch","test_search","",""
"","15290","后台登录成功 → 跳转 Dashboard","tests_admin","2026-07-17","broken","2026-07-17","TestAdminLogin","test_admin_login","",""
"添加商品后修改数量为 3","0","将购物车商品数量改为 3","tests","2026-07-17","broken","2026-07-17","TestCart","test_cart","",""
"后台: Marketing → Coupons → Add New → 保存","0","后台创建优惠券 → 保存成功","tests","2026-07-17","broken","2026-07-17","TestCoupon","test_coupon","",""
"点击顶部导航分类 → 页面跳转","30002","点击导航分类 'Desktops'","tests","2026-07-17","broken","2026-07-17","TestNavigation","test_navigation","",""
"","0","首页搜索栏应该可见","tests","2026-07-17","broken","2026-07-17","TestNavigation","test_navigation","",""
"添加商品 → 清空购物车 → 验证为空","15143","添加多个商品后逐一清除","tests","2026-07-17","broken","2026-07-17","TestCart","test_cart","",""
"反例：错误账号密码 → 显示错误提示","15324","使用错误密码登录应提示错误","tests","2026-07-17","broken","2026-07-17","TestLogin","test_login","",""
"登录用户：加购 MacBook → 购物车 → 配送 → 支付 → 下单","0","加购 → Flat Rate → COD → 下单成功","tests","2026-07-17","broken","2026-07-17","TestCheckout","test_checkout","",""
"搜索无效关键字 → 显示 'no product' 提示","15262","搜索不存在的商品应提示无结果","tests","2026-07-17","broken","2026-07-17","TestSearch","test_search","",""
"","5004","首页搜索栏应该可见","tests","2026-07-17","failed","2026-07-17","TestNavigation","test_navigation","",""
"添加商品后修改数量为 3","15186","将购物车商品数量改为 3","tests","2026-07-17","broken","2026-07-17","TestCart","test_cart","",""
"","0","订单列表加载","tests_admin","2026-07-17","broken","2026-07-17","TestAdminOrders","test_orders","",""
"","0","编辑现有分类 → 修改描述后保存","tests_admin","2026-07-17","broken","2026-07-17","TestAdminCategories","test_categories","",""
"添加商品 → 清空购物车 → 验证为空","0","添加多个商品后逐一清除","tests","2026-07-17","broken","2026-07-17","TestCart","test_cart","",""
"前台: 加购 → 购物车 → 输入 TEST10 → Apply","0","前台使用有效优惠券 → 价格更新","tests","2026-07-17","broken","2026-07-17","TestCoupon","test_coupon","",""
"搜索商品 → 添加至购物车 → 验证购物车非空","0","搜索 Mac 并添加到购物车","tests","2026-07-17","broken","2026-07-17","TestCart","test_cart","",""
"登录后执行登出","0","登录后登出","tests","2026-07-17","broken","2026-07-17","TestLogin","test_login","",""
"","15113","后台登录成功 → 跳转 Dashboard","tests_admin","2026-07-17","broken","2026-07-17","TestAdminLogin","test_admin_login","",""
"","0","商品列表加载 → 至少有一个商品","tests_admin","2026-07-17","broken","2026-07-17","TestAdminProducts","test_products","",""
"登录用户：加购 MacBook → 购物车 → 配送 → 支付 → 下单","0","加购 → Flat Rate → COD → 下单成功","tests","2026-07-17","broken","2026-07-17","TestCheckout","test_checkout","",""
"","0","订单列表加载","tests_admin","2026-07-17","broken","2026-07-17","TestAdminOrders","test_orders","",""
"点击顶部导航分类 → 页面跳转","30005","点击导航分类 'Desktops'","tests","2026-07-17","broken","2026-07-17","TestNavigation","test_navigation","",""
"","0","查看第一个订单详情（如有）","tests_admin","2026-07-17","broken","2026-07-17","TestAdminOrders","test_orders","",""
"","5003","首页搜索栏应该可见","tests","2026-07-17","failed","2026-07-17","TestNavigation","test_navigation","",""
"搜索结果 → 点击进入商品详情","5434","搜索 'Mac' 并点击第一条结果进入详情页","tests","2026-07-17","failed","2026-07-17","TestSearch","test_search","",""
"","0","查看第一个订单详情（如有）","tests_admin","2026-07-17","broken","2026-07-17","TestAdminOrders","test_orders","",""
"前台: 加购 → 购物车 → 输入 INVALID → 显示错误","0","前台使用无效优惠券 → 警告提示","tests","2026-07-17","broken","2026-07-17","TestCoupon","test_coupon","",""
"","0","商品列表加载 → 至少有一个商品","tests_admin","2026-07-17","broken","2026-07-17","TestAdminProducts","test_products","",""
"搜索商品 → 添加至购物车 → 验证购物车非空","15341","搜索 Mac 并添加到购物车","tests","2026-07-17","broken","2026-07-17","TestCart","test_cart","",""
"后台: Marketing → Coupons → Add New → 保存","15140","后台创建优惠券 → 保存成功","tests","2026-07-17","broken","2026-07-17","TestCoupon","test_coupon","",""
"","30006","首页切到 GBP → 价格显示 £","tests","2026-07-17","broken","2026-07-17","TestCurrency","test_currency","",""
"点击顶部导航分类 → 页面跳转","30005","点击导航分类 'Desktops'","tests","2026-07-17","broken","2026-07-17","TestNavigation","test_navigation","",""
"","0","搜索商品 MacBook → 筛选后列表只含 MacBook","tests_admin","2026-07-17","broken","2026-07-17","TestAdminProducts","test_products","",""
"登录后执行登出","0","登录后登出","tests","2026-07-17","broken","2026-07-17","TestLogin","test_login","",""
"搜索几个常见关键字 — 结果数 > 0","5304","搜索 'Mac' 应返回相关商品","tests","2026-07-17","failed","2026-07-17","TestSearch","test_search","",""
"后台: Marketing → Coupons 列表加载","0","后台查看优惠券列表","tests","2026-07-17","broken","2026-07-17","TestCoupon","test_coupon","",""
"","0","创建新分类 → 保存后返回列表","tests_admin","2026-07-17","broken","2026-07-17","TestAdminCategories","test_categories","",""
"添加商品后修改数量为 3","15338","将购物车商品数量改为 3","tests","2026-07-17","broken","2026-07-17","TestCart","test_cart","",""
"前台: 加购 → 购物车 → 输入 INVALID → 显示错误","0","前台使用无效优惠券 → 警告提示","tests","2026-07-17","broken","2026-07-17","TestCoupon","test_coupon","",""
"","0","编辑现有分类 → 修改描述后保存","tests_admin","2026-07-17","broken","2026-07-17","TestAdminCategories","test_categories","",""
"搜索商品 → 添加至购物车 → 验证购物车非空","15229","搜索 Mac 并添加到购物车","tests","2026-07-17","broken","2026-07-17","TestCart","test_cart","",""
"点击顶部导航分类 → 页面跳转","30004","点击导航分类 'Desktops'","tests","2026-07-17","broken","2026-07-17","TestNavigation","test_navigation","",""
"搜索商品 → 添加至购物车 → 验证购物车非空","15139","搜索 Mac 并添加到购物车","tests","2026-07-17","broken","2026-07-17","TestCart","test_cart","",""
"点击顶部导航分类 → 页面跳转","0","点击导航分类 'Desktops'","tests","2026-07-17","broken","2026-07-17","TestNavigation","test_navigation","",""
"搜索结果 → 点击进入商品详情","5144","搜索 'Mac' 并点击第一条结果进入详情页","tests","2026-07-17","failed","2026-07-17","TestSearch","test_search","",""
"搜索几个常见关键字 — 结果数 > 0","0","搜索 'Mac' 应返回相关商品","tests","2026-07-17","broken","2026-07-17","TestSearch","test_search","",""
"","0","编辑现有分类 → 修改描述后保存","tests_admin","2026-07-17","broken","2026-07-17","TestAdminCategories","test_categories","",""
"点击顶部导航分类 → 页面跳转","0","点击导航分类 'Desktops'","tests","2026-07-17","broken","2026-07-17","TestNavigation","test_navigation","",""
"首页正常加载，显示推荐商品","5003","打开首页 — 验证标题和推荐商品","tests","2026-07-17","failed","2026-07-17","TestNavigation","test_navigation","",""
"搜索几个常见关键字 — 结果数 > 0","5142","搜索 'Mac' 应返回相关商品","tests","2026-07-17","failed","2026-07-17","TestSearch","test_search","",""
